color_name,rgb,red,green,blue,hue_degree,saturation_percent,lightness_percent,hue,saturation,brightness,xy,hue_xy,livingcolors_xy
dark pink,#e75480,231,84,128,342,75.4,61.8,62258,191,157,"{0.581590,0.308065}","{0.503841,0.416011}","{0.424488,0.414709}"
dark powder blue,#003399,0,51,153,220,100,30,40049,254,76,"{0.154464,0.076071}","{0.374652,0.493597}","{0.362514,0.419760}"
dark raspberry,#872657,135,38,87,329.7,56.1,33.9,60019,142,86,"{0.500871,0.272000}","{0.455354,0.456379}","{0.418252,0.405416}"
dark red,#8b0000,139,0,0,0,100,27.3,0,254,70,"{0.640000,0.330000}","{0.455997,0.468137}","{0.444039,0.392017}"
dark salmon,#e9967a,233,150,122,15.1,71.6,69.6,2748,181,177,"{0.547741,0.356526}","{0.516649,0.405733}","{0.408916,0.439382}"
dark scarlet,#560319,86,3,25,344.1,93.3,17.5,62640,236,45,"{0.570320,0.297275}","{0.427553,0.486412}","{0.422825,0.395972}"
dark sea green,#8fbc8f,143,188,143,120,25.1,64.9,21845,63,165,"{0.306376,0.464084}","{0.481415,0.420455}","{0.381045,0.458332}"
dark sienna,#3c1414,60,20,20,0,50,15.7,0,127,40,"{0.488831,0.329542}","{0.416262,0.494942}","{0.407194,0.411578}"
dark slate blue,#483d8b,72,61,139,248.5,39,39.2,45237,99,100,"{0.182265,0.104962}","{0.419978,0.468153}","{0.387519,0.418381}"
dark slate gray,#2f4f4f,47,79,79,180,25.4,24.7,32767,64,63,"{0.257188,0.328840}","{0.414187,0.483947}","{0.379684,0.438130}"
dark spring green,#177245,23,114,69,150.3,66.4,26.9,27360,168,69,"{0.279128,0.506587}","{0.406245,0.489478}","{0.365264,0.457919}"
dark tan,#918151,145,129,81,45,28.3,44.3,8191,71,113,"{0.431762,0.434828}","{0.477848,0.438065}","{0.396361,0.445652}"
dark tangerine,#ffa812,255,168,18,38,100,53.5,6917,254,136,"{0.575008,0.381145}","{0.535392,0.404871}","{0.415638,0.451900}"
dark taupe,#483c32,72,60,50,27.3,18,23.9,4969,45,61,"{0.369341,0.360990}","{0.427941,0.480622}","{0.395297,0.429173}"
dark terra cotta,#cc4e5c,204,78,92,353.3,55.3,55.3,64315,140,140,"{0.599521,0.323642}","{0.494674,0.427356}","{0.422869,0.418124}"
dark turquoise,#00ced1,0,206,209,180.9,100,41,32931,254,104,"{0.221963,0.319066}","{0.386208,0.448342}","{0.338676,0.474655}"
dark violet,#9400d3,148,0,211,282.1,100,41.4,51353,254,105,"{0.194572,0.084560}","{0.443445,0.442656}","{0.423907,0.365804}"
dartmouth green,#00693e,0,105,62,155.4,100,20.6,28289,254,53,"{0.273389,0.504201}","{0.391070,0.501979}","{0.359378,0.458952}"
davy grey,#555555,85,85,85,0,0,33.3,0,0,85,"{0.312712,0.329008}","{0.436920,0.467013}","{0.389901,0.435074}"
debian red,#d70a53,215,10,83,338.6,91.1,44.1,61639,231,112,"{0.622718,0.320934}","{0.487954,0.435507}","{0.450589,0.382666}"
deep carmine,#a9203e,169,32,62,346.9,68.2,39.4,63150,173,100,"{0.610261,0.320382}","{0.472812,0.448065}","{0.432151,0.401734}"
deep carmine pink,#ef3038,239,48,56,357.5,85.7,56.3,65079,217,143,"{0.634165,0.329449}","{0.506034,0.424827}","{0.443659,0.404723}"
deep carrot orange,#e9692c,233,105,44,19.4,81.1,54.3,3531,205,138,"{0.620635,0.341774}","{0.514665,0.418541}","{0.425166,0.431071}"
deep cerise,#da3287,218,50,135,329.6,69.4,52.5,60000,176,133,"{0.556610,0.287893}","{0.492052,0.424054}","{0.431428,0.399360}"
deep champagne,#fad6a5,250,214,165,34.6,89.5,81.4,6298,227,206,"{0.445957,0.407569}","{0.529300,0.388188}","{0.397627,0.452366}"
deep chestnut,#b94e48,185,78,72,3.2,44.7,50.4,582,113,128,"{0.598912,0.332830}","{0.487894,0.434689}","{0.419924,0.422068}"
deep coffee,#704241,112,66,65,1.3,26.6,34.7,236,67,88,"{0.468584,0.331478}","{0.450113,0.462345}","{0.404631,0.425284}"
deep fuchsia,#c154c1,193,84,193,300,46.8,54.3,54612,118,138,"{0.320465,0.163726}","{0.480896,0.418644}","{0.411034,0.411677}"
deep jungle green,#004b49,0,75,73,178.4,100,14.7,32476,254,38,"{0.227371,0.338536}","{0.385731,0.504957}","{0.364117,0.444034}"
deep lilac,#9955bb,153,85,187,280,42.9,53.3,50971,108,135,"{0.237112,0.122856}","{0.462549,0.430073}","{0.401283,0.416288}"
deep magenta,#cc00cc,204,0,204,300,100,40,54612,254,102,"{0.320913,0.154176}","{0.470950,0.428183}","{0.439943,0.363978}"
deep peach,#ffcba4,255,203,164,25.7,100,82.2,4678,254,208,"{0.471669,0.385812}","{0.529357,0.389026}","{0.400505,0.449124}"
deep pink,#ff1493,255,20,147,327.6,100,53.9,59636,254,137,"{0.583665,0.299363}","{0.500832,0.418128}","{0.449517,0.379539}"
deep saffron,#ff9933,255,153,51,30,100,60,5461,254,152,"{0.593025,0.364580}","{0.530753,0.405320}","{0.417014,0.444504}"
deep sky blue,#00bfff,0,191,255,195.1,100,50,35516,254,127,"{0.178229,0.161624}","{0.375952,0.437964}","{0.337697,0.465584}"
denim,#1560bd,21,96,189,213.2,80,41.2,38811,203,105,"{0.158766,0.089585}","{0.388447,0.469956}","{0.359403,0.435598}"
desert,#c19a6b,193,154,107,32.8,41,58.8,5970,104,149,"{0.478509,0.405193}","{0.502546,0.416597}","{0.400531,0.446073}"
desert sand,#edc9af,237,201,175,25.2,63.3,80.8,4587,160,205,"{0.424437,0.377348}","{0.521231,0.391643}","{0.396872,0.449383}"
dim gray,#696969,105,105,105,0,0,41.2,0,0,105,"{0.312712,0.329008}","{0.449880,0.453399}","{0.389545,0.438777}"
dodger blue,#1e90ff,30,144,255,209.6,100,55.9,38155,254,142,"{0.159085,0.091949}","{0.390104,0.440415}","{0.351439,0.446342}"
dogwood rose,#d71868,215,24,104,334.9,79.9,46.9,60965,202,119,"{0.604541,0.311783}","{0.488871,0.431691}","{0.442803,0.388778}"
dollar bill,#85bb65,133,187,101,97.7,38.7,56.5,17785,98,143,"{0.323629,0.540541}","{0.481094,0.429222}","{0.381202,0.463217}"
drab,#967117,150,113,23,42.5,73.4,33.9,7736,186,86,"{0.513036,0.424024}","{0.481651,0.444280}","{0.405405,0.445458}"
duke blue,#00009c,0,0,156,240,100,30.6,43690,254,78,"{0.150000,0.060000}","{0.368620,0.501153}","{0.374805,0.382960}"
earth yellow,#e1a95f,225,169,95,34.2,68.4,62.7,6225,173,159,"{0.521938,0.404468}","{0.519433,0.406960}","{0.404908,0.448414}"
ecru,#c2b280,194,178,128,45.5,35.1,63.1,8282,89,160,"{0.418777,0.431215}","{0.505260,0.410127}","{0.394836,0.451293}"
eggplant,#614051,97,64,81,329.1,20.5,31.6,59909,52,80,"{0.369927,0.279650}","{0.440262,0.466538}","{0.399390,0.424131}"
eggshell,#f0ead6,240,234,214,46.2,46.4,89,8410,117,226,"{0.349920,0.372679}","{0.522704,0.381481}","{0.390196,0.454401}"
egyptian blue,#1034a6,16,52,166,225.6,82.4,35.7,41068,209,91,"{0.154067,0.072032}","{0.382701,0.484907}","{0.367567,0.416535}"
electric blue,#7df9ff,125,249,255,182.8,100,74.5,33277,254,189,"{0.224167,0.312342}","{0.464693,0.393645}","{0.363352,0.466044}"
electric crimson,#ff003f,255,0,63,345.2,100,50,62840,254,127,"{0.636449,0.328043}","{0.503411,0.427140}","{0.466294,0.376067}"
electric cyan,#00ffff,0,255,255,180,100,50,32767,254,127,"{0.224650,0.328741}","{0.383525,0.421808}","{0.333057,0.482129}"
electric green,#00ff00,0,255,0,120,100,50,21845,254,127,"{0.300000,0.600000}","{0.423854,0.484291}","{0.344328,0.508120}"
electric indigo,#6f00ff,111,0,255,266.1,100,50,48441,254,127,"{0.155637,0.063106}","{0.418690,0.445838}","{0.408064,0.362614}"
electric lavender,#f4bbff,244,187,255,290.3,100,86.7,52846,254,220,"{0.296995,0.199496}","{0.511049,0.383105}","{0.396474,0.438383}"
electric lime,#ccff00,204,255,0,72,100,50,13107,254,127,"{0.350551,0.559856}","{0.534976,0.404969}","{0.390519,0.480294}"
electric purple,#bf00ff,191,0,255,284.9,100,50,51863,254,127,"{0.204573,0.090071}","{0.459141,0.424665}","{0.431640,0.359299}"
electric ultramarine,#3f00ff,63,0,255,254.8,100,50,46384,254,127,"{0.151024,0.060564}","{0.392259,0.459672}","{0.391172,0.364990}"
electric violet,#8f00ff,143,0,255,273.6,100,50,49806,254,127,"{0.165582,0.068586}","{0.435538,0.437019}","{0.418107,0.361202}"
electric yellow,#ffff00,255,255,0,60,100,50,10922,254,127,"{0.419313,0.505251}","{0.551916,0.392877}","{0.399896,0.474645}"
emerald,#50c878,80,200,120,140,52.2,54.9,25485,132,139,"{0.290420,0.547650}","{0.451654,0.442055}","{0.365368,0.471494}"
eton blue,#96c8a2,150,200,162,134.4,31.3,68.6,24466,79,174,"{0.294729,0.442720}","{0.484695,0.413554}","{0.379727,0.459111}"
fallow,#c19a6b,193,154,107,32.8,41,58.8,5970,104,149,"{0.478509,0.405193}","{0.502546,0.416597}","{0.400531,0.446073}"
falu red,#801818,128,24,24,0,68.4,29.8,0,173,76,"{0.613311,0.329919}","{0.453572,0.466878}","{0.427558,0.405680}"
famous,#ff00ff,255,0,255,300,100,50,54612,254,127,"{0.320913,0.154176}","{0.486995,0.410086}","{0.447309,0.357096}"
fandango,#b53389,181,51,137,320.3,56,45.5,58307,142,116,"{0.468090,0.243003}","{0.475691,0.434064}","{0.421941,0.402657}"
fashion fuchsia,#f400a1,244,0,161,320.4,100,47.8,58326,254,121,"{0.543731,0.276954}","{0.492069,0.422561}","{0.453831,0.366578}"
fawn,#e5aa70,229,170,112,29.7,69.2,66.9,5406,175,170,"{0.518838,0.394293}","{0.519593,0.404400}","{0.404524,0.446799}"
feldgrau,#4d5d53,77,93,83,142.5,9.4,33.3,25940,23,85,"{0.298752,0.369885}","{0.433937,0.468981}","{0.385727,0.439866}"
fern,#71bc78,113,188,120,125.6,35.9,59,22864,91,150,"{0.299302,0.524945}","{0.468375,0.433039}","{0.375247,0.464069}"
fern green,#4f7942,79,121,66,105.8,29.4,36.7,19260,74,93,"{0.316106,0.512190}","{0.441812,0.465420}","{0.381463,0.452781}"
ferrari red,#ff2800,255,40,0,9.4,100,50,1711,254,127,"{0.638970,0.330818}","{0.513436,0.424515}","{0.455228,0.405211}"
field drab,#6c541e,108,84,30,41.5,56.5,27.1,7554,143,69,"{0.472848,0.429246}","{0.453880,0.464246}","{0.401261,0.438316}"
fire engine red,#ce2029,206,32,41,356.9,73.1,46.7,64970,185,119,"{0.633398,0.329109}","{0.490688,0.437759}","{0.443492,0.400822}"
firebrick,#b22222,178,34,34,0,67.9,41.6,0,172,106,"{0.628848,0.329966}","{0.479108,0.446848}","{0.436417,0.405261}"
flame,#e25822,226,88,34,16.9,76.8,51,3076,195,130,"{0.627120,0.337504}","{0.509466,0.423670}","{0.429343,0.426113}"
flamingo pink,#fc8eac,252,142,172,343.6,94.8,77.3,62549,240,196,"{0.512935,0.298229}","{0.517372,0.398101}","{0.411453,0.430638}"
flavescent,#f7e98e,247,233,142,52,86.8,76.3,9466,220,194,"{0.427994,0.463891}","{0.533994,0.388068}","{0.395096,0.459155}"
flax,#eedc82,238,220,130,50,76.1,72.2,9102,193,183,"{0.437744,0.460144}","{0.529897,0.392953}","{0.396145,0.457857}"
floral white,#fffaf0,255,250,240,40,100,97.1,7281,254,246,"{0.333453,0.350287}","{0.526981,0.373606}","{0.389372,0.454860}"
fluorescent orange,#ffbf00,255,191,0,44.9,100,50,8173,254,127,"{0.537298,0.411558}","{0.540458,0.402298}","{0.411754,0.459765}"
fluorescent pink,#ff1493,255,20,147,327.6,100,53.9,59636,254,137,"{0.583665,0.299363}","{0.500832,0.418128}","{0.449517,0.379539}"
fluorescent yellow,#ccff00,204,255,0,72,100,50,13107,254,127,"{0.350551,0.559856}","{0.534976,0.404969}","{0.390519,0.480294}"
folly,#ff004f,255,0,79,341.4,100,50,62149,254,127,"{0.633710,0.326534}","{0.502462,0.426154}","{0.464619,0.374394}"
forest green,#228b22,34,139,34,120,60.7,33.9,21845,154,86,"{0.300715,0.584758}","{0.420619,0.485312}","{0.366799,0.469559}"
french beige,#a67b5b,166,123,91,25.6,29.6,50.4,4660,75,128,"{0.488867,0.383967}","{0.486003,0.431329}","{0.402151,0.440087}"
french blue,#0072bb,0,114,187,203.4,100,36.7,37027,254,93,"{0.165214,0.114772}","{0.377945,0.474164}","{0.349592,0.446474}"
french lilac,#86608e,134,96,142,289.6,19.3,46.7,52719,49,119,"{0.295064,0.199984}","{0.459944,0.440186}","{0.396880,0.427698}"
french rose,#f64a8a,246,74,138,337.7,90.5,62.7,61475,229,159,"{0.584948,0.304894}","{0.507113,0.412982}","{0.429914,0.408179}"
fuchsia,#ff00ff,255,0,255,300,100,50,54612,254,127,"{0.320913,0.154176}","{0.486995,0.410086}","{0.447309,0.357096}"
fuchsia pink,#ff77ff,255,119,255,300,100,73.3,54612,254,186,"{0.320535,0.162218}","{0.504948,0.391853}","{0.412060,0.415219}"
fulvous,#e48400,228,132,0,34.7,100,44.7,6316,254,114,"{0.597526,0.363729}","{0.520197,0.418120}","{0.419986,0.445418}"
fuzzy wuzzy,#cc6666,204,102,102,0,50,60,0,127,152,"{0.575763,0.329805}","{0.498183,0.422621}","{0.415426,0.427091}"
gainsboro,#dcdcdc,220,220,220,0,0,86.3,0,0,219,"{0.312712,0.329008}","{0.511764,0.386420}","{0.388245,0.452306}"
gamboge,#e49b0f,228,155,15,39.4,87.7,47.6,7172,222,121,"{0.563589,0.390053}","{0.523715,0.413797}","{0.413416,0.451244}"
ghost white,#f8f8ff,248,248,255,240,100,98.6,43690,254,250,"{0.303332,0.313501}","{0.521865,0.372988}","{0.387726,0.453893}"
ginger,#b06500,176,101,0,34.4,100,34.5,6262,254,88,"{0.588224,0.371116}","{0.492796,0.438888}","{0.416687,0.440288}"
glaucous,#6082b6,96,130,182,216.3,37.1,54.5,39375,94,138,"{0.190560,0.161796}","{0.439987,0.439706}","{0.376906,0.441146}"
glitter,#e6e8fa,230,232,250,234,66.7,94.1,42597,169,239,"{0.284623,0.286762}","{0.513220,0.378788}","{0.386933,0.452033}"
gold,#ffd700,255,215,0,50.6,100,50,9211,254,127,"{0.491468,0.447951}","{0.544769,0.398753}","{0.406991,0.465741}"
golden brown,#996515,153,101,21,36.4,75.9,34.1,6626,192,87,"{0.549251,0.395702}","{0.480866,0.445398}","{0.409437,0.440739}"
golden poppy,#fcc200,252,194,0,46.2,100,49.4,8410,254,125,"{0.527221,0.419560}","{0.540029,0.402557}","{0.410571,0.460863}"
golden yellow,#ffdf00,255,223,0,52.5,100,50,9557,254,127,"{0.475983,0.460249}","{0.546203,0.397574}","{0.405493,0.467622}"
goldenrod,#daa520,218,165,32,42.9,74.4,49,7809,188,124,"{0.528435,0.416536}","{0.520812,0.413931}","{0.408079,0.453721}"
granny smith apple,#a8e4a0,168,228,160,112.9,55.7,76.1,20552,141,193,"{0.310889,0.499533}","{0.498907,0.404006}","{0.379556,0.464514}"
gray,#808080,128,128,128,0,0,50.2,0,0,128,"{0.312712,0.329008}","{0.464152,0.438255}","{0.389199,0.442378}"
gray asparagus,#465945,70,89,69,117,12.7,31,21298,32,79,"{0.310777,0.408403}","{0.430400,0.474280}","{0.385568,0.440775}"
green,#00ff00,0,255,0,120,100,50,21845,254,127,"{0.300000,0.600000}","{0.423854,0.484291}","{0.344328,0.508120}"
green blue,#1164b4,17,100,180,209.4,82.7,38.6,38119,210,98,"{0.162140,0.101884}","{0.387717,0.472672}","{0.357991,0.439023}"
green yellow,#adff2f,173,255,47,83.7,100,59.2,15236,254,150,"{0.324476,0.579209}","{0.519192,0.410207}","{0.382175,0.479831}"
grullo,#a99a86,169,154,134,34.3,16.9,59.4,6244,42,151,"{0.383847,0.381218}","{0.488880,0.420335}","{0.393539,0.446085}"
guppie green,#00ff7f,0,255,127,149.9,100,50,27288,254,127,"{0.294593,0.580536}","{0.407774,0.459377}","{0.338546,0.494787}"
halayà úbe,#663854,102,56,84,323.5,29.1,31,58890,73,79,"{0.382566,0.257836}","{0.441338,0.465653}","{0.402977,0.419088}"
han blue,#446ccf,68,108,207,222.7,59.1,53.9,40540,150,137,"{0.161213,0.090233}","{0.416358,0.448023}","{0.371237,0.433000}"
han purple,#5218fa,82,24,250,255.4,95.8,53.7,46493,243,136,"{0.152362,0.061654}","{0.406615,0.450794}","{0.391344,0.381999}"
hansa yellow,#e9d66b,233,214,107,51,74.1,66.7,9284,188,169,"{0.446683,0.467140}","{0.529362,0.396990}","{0.397392,0.458766}"
harlequin,#3fff00,63,255,0,105.2,100,50,19150,254,127,"{0.300717,0.599431}","{0.466069,0.454157}","{0.360320,0.498487}"
harvard crimson,#c90016,201,0,22,353.4,100,39.4,64333,254,100,"{0.638116,0.328961}","{0.483790,0.445348}","{0.458226,0.384142}"
harvest gold,#da9100,218,145,0,39.9,100,42.7,7263,254,109,"{0.568110,0.387089}","{0.518862,0.418875}","{0.414663,0.450710}"
heart gold,#808000,128,128,0,60,100,25.1,10922,254,64,"{0.419313,0.505251}","{0.475072,0.451404}","{0.397827,0.456170}"
heliotrope,#df73ff,223,115,255,286.3,100,72.5,52118,254,184,"{0.255015,0.126578}","{0.491259,0.398494}","{0.406228,0.416207}"
hollywood cerise,#f400a1,244,0,161,320.4,100,47.8,58326,254,121,"{0.543731,0.276954}","{0.492069,0.422561}","{0.453831,0.366578}"
honeydew,#f0fff0,240,255,240,120,100,97.1,21845,254,246,"{0.311115,0.363041}","{0.522222,0.374957}","{0.385982,0.457353}"
hooker green,#49796b,73,121,107,162.5,24.7,38,29581,62,97,"{0.265059,0.388148}","{0.434212,0.462053}","{0.376943,0.448848}"
hot magenta,#ff1dce,255,29,206,313,100,55.7,56979,254,141,"{0.449918,0.225753}","{0.496745,0.411164}","{0.440960,0.378928}"
hot pink,#ff69b4,255,105,180,330,100,70.6,60073,254,179,"{0.513617,0.271337}","{0.511593,0.402318}","{0.420266,0.416408}"
hunter green,#355e3b,53,94,59,128.8,27.9,28.8,23446,70,73,"{0.299550,0.466624}","{0.422083,0.481674}","{0.379802,0.446574}"
icterine,#fcf75e,252,247,94,58.1,96.3,67.8,10576,244,172,"{0.424983,0.494929}","{0.542832,0.389046}","{0.396095,0.465686}"
inchworm,#b2ec5d,178,236,93,84.3,79,64.5,15346,200,164,"{0.337372,0.560385}","{0.513082,0.407923}","{0.383728,0.471095}"
india green,#138808,19,136,8,114.8,88.9,28.2,20898,225,72,"{0.301288,0.596468}","{0.412544,0.495861}","{0.364288,0.474290}"
indian red,#cd5c5c,205,92,92,0,53.1,58.2,0,134,148,"{0.593787,0.329860}","{0.497632,0.424827}","{0.419082,0.423971}"
indian yellow,#e3a857,227,168,87,34.7,71.4,61.6,6316,181,156,"{0.529985,0.403109}","{0.520701,0.407275}","{0.405988,0.448629}"
indigo,#4b0082,75,0,130,274.6,100,25.5,49988,254,65,"{0.185896,0.079779}","{0.413130,0.478725}","{0.408429,0.380235}"
international klein blue,#002fa7,0,47,167,223.1,100,32.7,40613,254,83,"{0.152600,0.069361}","{0.372603,0.491203}","{0.362176,0.415394}"
international orange,#ff4f00,255,79,0,18.6,100,50,3385,254,127,"{0.635676,0.333434}","{0.520352,0.418828}","{0.441056,0.422995}"
iris,#5a4fcf,90,79,207,245.2,57.1,56.1,44636,145,142,"{0.160447,0.074530}","{0.424862,0.446699}","{0.383646,0.417535}"
isabelline,#f4f0ec,244,240,236,30,26.7,94.1,5461,67,239,"{0.324310,0.337914}","{0.522002,0.377218}","{0.389014,0.453790}"
islamic green,#009000,0,144,0,120,100,28.2,21845,254,72,"{0.300000,0.600000}","{0.402304,0.504424}","{0.357318,0.481197}"
ivory,#fffff0,255,255,240,60,100,97.1,10922,254,246,"{0.332026,0.360940}","{0.527737,0.372852}","{0.388664,0.456009}"
jade,#00a86b,0,168,107,158.2,100,32.9,28798,254,84,"{0.280388,0.529396}","{0.396078,0.482373}","{0.347692,0.475230}"
jasmine,#f8de7e,248,222,126,47.2,89.7,73.3,8592,227,186,"{0.454237,0.453590}","{0.534158,0.390991}","{0.397878,0.457692}"
jasper,#d73b3e,215,59,62,358.8,66.1,53.7,65316,167,136,"{0.627088,0.329523}","{0.498044,0.429498}","{0.433870,0.411530}"
jazzberry jam,#a50b5e,165,11,94,327.7,87.5,34.5,59655,222,88,"{0.560398,0.287706}","{0.464864,0.449904}","{0.436201,0.385597}"
jonquil,#fada5e,250,218,94,47.7,94,67.5,8683,238,171,"{0.472821,0.454371}","{0.537172,0.393797}","{0.400564,0.459122}"
june bud,#bdda57,189,218,87,73.3,63.9,59.8,13343,162,152,"{0.368138,0.535196}","{0.514896,0.408716}","{0.389076,0.466126}"
jungle green,#29ab87,41,171,135,163.4,61.3,41.6,29745,155,106,"{0.262996,0.459380}","{0.419867,0.459647}","{0.357987,0.466940}"
ku crimson,#e8000d,232,0,13,356.6,100,45.5,64916,254,116,"{0.639538,0.329745}","{0.497060,0.436298}","{0.466572,0.382960}"
kelly green,#4cbb17,76,187,23,100.6,78.1,41.2,18313,198,105,"{0.304867,0.594086}","{0.456989,0.459477}","{0.371548,0.478698}"
khaki,#c3b091,195,176,145,37.2,29.4,66.7,6771,74,169,"{0.403661,0.398499}","{0.503430,0.408346}","{0.394460,0.449081}"
la salle green,#087830,8,120,48,141.4,87.5,25.1,25740,222,64,"{0.290209,0.559985}","{0.399674,0.498201}","{0.360625,0.465319}"
languid lavender,#d6cadd,214,202,221,277.9,21.8,82.9,50589,55,210,"{0.302377,0.282575}","{0.506181,0.390388}","{0.389838,0.448044}"
lapis lazuli,#26619c,38,97,156,210,60.8,38,38228,154,97,"{0.172752,0.130402}","{0.403340,0.470930}","{0.367243,0.437865}"
laser lemon,#fefe22,254,254,34,60,99.1,56.5,10922,251,143,"{0.419091,0.504883}","{0.549390,0.391536}","{0.398226,0.471792}"
laurel green,#a9ba9d,169,186,157,95.2,17.4,67.3,17330,44,171,"{0.326805,0.411621}","{0.492030,0.411763}","{0.386433,0.453617}"
lava,#cf1020,207,16,32,355,85.7,43.7,64624,217,111,"{0.636358,0.328962}","{0.488723,0.440453}","{0.451269,0.392584}"
lavender,#e6e6fa,230,230,250,240,66.7,94.1,43690,169,239,"{0.284399,0.282199}","{0.512908,0.379111}","{0.387225,0.451537}"
lavender blue,#ccccff,204,204,255,240,100,90,43690,254,228,"{0.238937,0.207037}","{0.497030,0.387062}","{0.385806,0.446736}"
lavender blush,#fff0f5,255,240,245,340,100,97.1,61894,254,246,"{0.328962,0.318489}","{0.524736,0.374507}","{0.390591,0.452129}"
lavender gray,#c4c3d0,196,195,208,244.6,12.1,79,44527,30,200,"{0.293350,0.294485}","{0.499097,0.396944}","{0.387983,0.448925}"
lavender indigo,#9457eb,148,87,235,264.7,78.7,63.1,48186,199,160,"{0.178532,0.081708}","{0.454014,0.423578}","{0.396084,0.412765}"
lavender magenta,#ee82ee,238,130,238,300,76.1,72.2,54612,193,183,"{0.320156,0.170308}","{0.502143,0.395372}","{0.407191,0.422018}"
lavender mist,#e6e6fa,230,230,250,240,66.7,94.1,43690,169,239,"{0.284399,0.282199}","{0.512908,0.379111}","{0.387225,0.451537}"
lavender pink,#fbaed2,251,174,210,331.9,90.6,83.3,60419,230,211,"{0.410236,0.270255}","{0.517765,0.389373}","{0.402570,0.437605}"
lavender purple,#967bb6,150,123,182,267.5,28.8,59.8,48696,73,152,"{0.245693,0.169774}","{0.468177,0.424847}","{0.392273,0.432671}"
lavender rose,#fba0e3,251,160,227,315.8,91.9,80.6,57488,233,204,"{0.374337,0.223728}","{0.513388,0.389585}","{0.404311,0.431917}"
lawn green,#7cfc00,124,252,0,90.5,100,49.4,16474,254,125,"{0.306440,0.594886}","{0.499625,0.430295}","{0.374648,0.489494}"
lemon,#fff700,255,247,0,58.1,100,50,10576,254,127,"{0.432343,0.494904}","{0.550492,0.394048}","{0.401239,0.472960}"
lemon yellow,#fff44f,255,244,79,56.3,100,65.5,10248,254,166,"{0.435951,0.488592}","{0.544578,0.389990}","{0.397841,0.465912}"
lemon chiffon,#fffacd,255,250,205,54,100,90.2,9830,254,229,"{0.375229,0.416391}","{0.531880,0.377681}","{0.390964,0.457486}"
lemon lime,#bfff00,191,255,0,75.1,100,50,13671,254,127,"{0.338182,0.569679}","{0.530063,0.408477}","{0.388010,0.481805}"
light crimson,#f56991,245,105,145,342.9,87.5,68.6,62422,222,174,"{0.566931,0.305172}","{0.511312,0.407858}","{0.420571,0.420399}"
light thulian pink,#e68fac,230,143,172,340,63.5,73.1,61894,161,185,"{0.466017,0.287753}","{0.509111,0.402623}","{0.406764,0.432943}"
light apricot,#fdd5b1,253,213,177,28.4,95,84.3,5169,241,214,"{0.440228,0.388916}","{0.528795,0.386585}","{0.397747,0.450873}"
light blue,#add8e6,173,216,230,194.7,53.3,79,35443,135,200,"{0.243403,0.289494}","{0.488676,0.394728}","{0.378894,0.455010}"
light brown,#b5651d,181,101,29,28.4,72.4,41.2,5169,183,105,"{0.590067,0.364101}","{0.493387,0.435438}","{0.415690,0.436596}"
light carmine pink,#e66771,230,103,113,355.3,71.8,65.3,64679,182,166,"{0.592288,0.324720}","{0.508059,0.414610}","{0.420134,0.423945}"
light coral,#f08080,240,128,128,0,78.9,72.2,0,200,183,"{0.572429,0.329795}","{0.514928,0.406996}","{0.414965,0.430833}"
light cornflower blue,#93ccea,147,204,234,200.7,67.4,74.7,36535,171,189,"{0.216156,0.242778}","{0.472900,0.401938}","{0.374797,0.454104}"
light cyan,#e0ffff,224,255,255,180,100,93.9,32767,254,238,"{0.275234,0.328895}","{0.513589,0.375250}","{0.382390,0.457678}"
light fuchsia pink,#f984ef,249,132,239,305.1,90.7,74.7,55540,230,189,"{0.343441,0.182574}","{0.506693,0.392868}","{0.408958,0.421747}"
light goldenrod yellow,#fafad2,250,250,210,60,80,90.2,10922,203,229,"{0.361947,0.410408}","{0.529445,0.377885}","{0.389843,0.457564}"
light gray,#d3d3d3,211,211,211,0,0,82.7,0,0,210,"{0.312712,0.329008}","{0.507846,0.390777}","{0.388317,0.451558}"
light green,#90ee90,144,238,144,120,73.4,74.9,21845,186,190,"{0.302564,0.545341}","{0.491349,0.410569}","{0.373887,0.470934}"
light khaki,#f0e68c,240,230,140,54,76.9,74.5,9830,195,189,"{0.421072,0.468129}","{0.531254,0.390065}","{0.394384,0.459281}"
light pastel purple,#b19cd9,177,156,217,260.7,44.5,73.1,47458,113,185,"{0.241010,0.176626}","{0.482426,0.406751}","{0.390103,0.438219}"
light pink,#ffb6c1,255,182,193,351,100,85.7,63896,254,217,"{0.450384,0.312538}","{0.522594,0.389272}","{0.402768,0.440981}"
light salmon,#ffa07a,255,160,122,17.1,100,73.9,3112,254,187,"{0.565747,0.357910}","{0.526428,0.399267}","{0.411156,0.440408}"
light salmon pink,#ff9999,255,153,153,0,100,80,0,254,203,"{0.542296,0.329704}","{0.522267,0.397624}","{0.410811,0.435571}"
light sea green,#20b2aa,32,178,170,176.7,69.5,41.2,32166,176,105,"{0.233569,0.357867}","{0.410129,0.453934}","{0.352630,0.466481}"
light sky blue,#87cefa,135,206,250,203,92,75.5,36954,233,192,"{0.199781,0.208929}","{0.464055,0.401274}","{0.371045,0.454496}"
light slate gray,#778899,119,136,153,210,14.3,53.3,38228,36,135,"{0.250798,0.267794}","{0.457808,0.436084}","{0.383712,0.443690}"
light taupe,#b38b6d,179,139,109,25.7,31.5,56.5,4678,80,143,"{0.469846,0.384452}","{0.493345,0.422864}","{0.400442,0.442475}"
